Name,RA,Dec,P_V,sP_V,PA_V,sPA_V,P_R,sP_R,PA_R,sPA_R
HDE279652,04:18:10.3,+37:43:11.3,1.29,0.06,90,1,1.25,0.04,90,1
Elias 1 (Tau),04:18:40.7,+28:19:15.8,4.72,0.29,3,2,5.28,0.03,2,1
Elias 3 (Tau),04:23:24.6,+25:00:09.0,-999,-999,-999,-999,2.8,0.22,97,1
HD28170,04:27:34.0,+25:03:42.4,1.98,0.04,90,1,1.92,0.04,88,1
HD28975,04:34:50.1,+24:14:40.0,3.19,0.04,56,1,3.11,0.06,56,1
HDE283701,04:34:54.9,+27:12:12.8,3.13,0.06,34,1,3.18,0.06,31,1
HDE283725,04:39:07.0,+28:50:30.8,4.83,0.06,67,1,4.76,0.09,66,1
HDE283809,04:41:24.8,+25:54:48.4,6.63,0.07,49,1,6.65,0.06,50,1
HDE283800,04:43:27.2,+27:01:37.9,4.06,0.09,27,1,3.96,0.06,26,1
Elias 19 (Tau),04:44:17.9,+25:24:51.3,6.2,0.17,38,1,5.67,0.09,38,1
HDE283812,04:44:24.9,+25:31:42.4,6.29,0.05,32,1,6.29,0.07,31,1
HD30675,04:50:52.0,+28:18:50.4,3.94,0.05,59,1,3.72,0.08,57,1
HD38563A,05:46:43.3,+00:04:36.6,4.19,0.05,97,2,4.47,0.05,96,1
HD38563C,05:46:45.3,+00:02:41.5,8.73,0.24,73,1,9.17,0.25,73,1
Elias 14,16:26:03.1,-24:23:35.6,5.77,0.21,177,1,6.17,0.17,1,1
Elias 22,16:26:23.4,-24:20:59.2,3.93,0.3,0,2,5.02,0.14,0,1
Elias 25,16:26:34.2,-24:23:27.5,8.4,1.6,22,5,-999,-999,-999,-999
HD 150193,16:40:17.9,-23:53:43.8,5.08,0.04,56,1,5.19,0.05,56,1
Cyg OB2 4,20:32:13.8,+41:27:11.7,2.09,0.06,77,1,2.07,0.05,75,1
Cyg OB2 14,20:32:16.5,+41:25:35.8,3.29,0.06,87,1,3.13,0.05,86,1
Cyg OB2 15,20:32:27.7,+41:26:22.1,3.19,0.05,86,1,2.98,0.04,85,1
Cyg OB2 21,20:32:27.8,+41:28:52.1,3.4,0.06,56,1,3.22,0.04,55,1
Cyg OB2 6,20:32:45.5,+41:25:38.0,1.68,0.06,53,1,1.65,0.04,52,1
